played_at,track_name,explicit,duration_ms,type,playlist_url
2017-05-28T15:55:20.181Z,Channel 1 Suite,FALSE,350520,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX55dNU0PWnO5
2017-04-14T06:30:05.346Z,Let's Stay,FALSE,298000,playlist,NA
2017-04-05T12:09:03.141Z,Anyway,FALSE,201280,playlist,NA
2017-05-18T12:32:27.727Z,Tsunami Of Truth,FALSE,385655,album,NA
2017-04-21T17:12:34.653Z,Ambush in Cairo,FALSE,245040,NA,NA
2017-06-17T08:57:32.466Z,You Don't Know Me - Radio Edit,TRUE,213946,playlist,https://open.spotify.com/user/1170891844/playlist/5gA32FfS2f6eB6sLFxumgY
2017-06-06T12:42:02.690Z,Acidcore - Egorythmia Remix,FALSE,426640,playlist,https://open.spotify.com/user/snip3rwarface/playlist/0OEieW2vRqVZRraoFsw4Z4
2017-05-11T15:58:43.618Z,No Groove Where I Come From,FALSE,307453,playlist,NA
2017-04-14T15:19:58.707Z,János Vitéz,FALSE,231500,playlist,NA
2017-04-04T11:20:00.605Z,Holy Ghost,FALSE,492600,NA,NA
2017-04-06T23:25:59.432Z,Pushin On,FALSE,199560,playlist,NA
2017-04-19T15:15:48.914Z,Somos Dos,FALSE,237293,NA,NA
2017-05-22T13:51:55.918Z,Beautiful Drug,FALSE,207546,playlist,NA
2017-06-23T20:01:47.263Z,Prime Time - Avalon Remix,FALSE,504347,playlist,https://open.spotify.com/user/1170891844/playlist/5w75qWvgYJPlowqC1DYUIR
2017-04-14T22:13:50.173Z,Life Is A Rollercoaster,FALSE,236826,playlist,NA
2017-05-03T13:46:30.619Z,God Walked Down,FALSE,231335,NA,NA
2017-04-04T12:46:11.506Z,Put Your Hand In The Hand,FALSE,228439,NA,NA
2017-04-19T11:43:46.302Z,Millennium,FALSE,247573,playlist,NA
2017-05-18T18:14:23.338Z,"Paper'd Up - Explicit; Feat. Mr. Kane, Tracy Nelson",TRUE,230026,playlist,NA
2017-04-22T21:39:52.330Z,New Orleans River Cruises,FALSE,67136,playlist,NA
2017-04-25T18:18:03.476Z,Basic Original Theories,FALSE,384000,playlist,NA
2017-05-24T09:24:56.335Z,French Kiss,FALSE,617160,artist,https://open.spotify.com/artist/5A16TE7083RJq3yzpdsQWs
2017-04-03T20:16:29.749Z,Back To The Grill,TRUE,303266,playlist,NA
2017-06-24T19:15:01.167Z,Ofege,FALSE,240426,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2017-06-21T08:49:33.373Z,Right Here Right Now,FALSE,387706,album,https://open.spotify.com/album/2ELLu16F9TTREQuU4OuAnN
2017-05-11T06:26:21.360Z,Woman of the Ghetto - Live,FALSE,598533,playlist,NA
